Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,32274.8905524359,31616.6816992667,29369.0568278169,28988.2592085877,35084.0351930602
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,16390.8821748507,16563.4404971233,17585.1970022571,19486.3936845502,19381.592110485
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,20890.1664304173,21678.3594670635,23514.0254604149,26123.7471277906,26016.0786839136
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2134.80542436874,2196.28390774566,2283.57894441331,2450.48293051599,2398.77296268603
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,387.607994416701,387.186681561763,377.349071976258,379.986002695215,405.786763279583
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6204.92990145846,5735.06678717842,6734.47515312493,7048.50811239074,6688.77474649645
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,1071.77776475545,..,..,..,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,25754.36102944,26537.1594894549,28185.3213671972,30379.7211126417,29581.5185513293
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3990.3531233888,4107.82976157993,4388.20190753404,4360.58474164383,4082.69404756548
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,20025.8848511621,21095.2540386708,22160.6036296839,22548.1506296397,23219.4090468738
